TeamName,`PlayerName,Year,Partispated,Started
Cards,Michael Adams,1989,3,0
Cards,Robert Awalt,1989,16,15
Cards,Tony Baker,1989,10,2
Cards,Anthony Bell,1989,16,15
Cards,Bob Buczkowski,1989,4,0
Cards,Ron Burton,1989,10,0
Cards,Rich Camarillo,1989,15,0
Cards,Lydell Carr,1989,5,0
Cards,Carl Carter,1989,15,15
Cards,Jessie Clark,1989,11,0
Cards,Bob Clasby,1989,4,4
Cards,Al Del Greco,1989,16,0
Cards,Scott Dill,1989,16,0
Cards,Michael Downs,1989,5,0
Cards,Earl Ferrell,1989,15,15
Cards,David Galloway,1989,12,11
Cards,Freddie Gilbert,1989,2,0
Cards,Roy Green,1989,12,12
Cards,Kevin Guidry,1989,3,0
Cards,Gary Hadd,1989,10,4
Cards,Ken Harvey,1989,16,16
Cards,Eric Hill,1989,15,14
Cards,Gary Hogeboom,1989,14,13
Cards,Don Holmes,1989,15,1
Cards,Ilia Jarostchuk,1989,16,1
Cards,Garth Jax,1989,16,0
Cards,Ernie Jones,1989,15,9
Cards,Tony Jordan,1989,13,8
Cards,Kani Kauahi,1989,16,2
Cards,Derek Kennard,1989,14,14
Cards,Randy Kirk,1989,6,0
Cards,Shawn Knight,1989,7,1
Cards,Cedric Mack,1989,16,16
Cards,Phil McConkey,1989,6,0
Cards,Tim McDonald,1989,16,16
Cards,Roland Mitchell,1989,3,1
Cards,Stump Mitchell,1989,3,3
Cards,Jay Novacek,1989,16,1
Cards,Freddie Joe Nunn,1989,12,12
Cards,Todd Peat,1989,4,4
Cards,Walter Reeves,1989,16,3
Cards,Tootie Robbins,1989,9,9
Cards,Timm Rosenbach,1989,2,1
Cards,Rod Saddler,1989,15,15
Cards,Luis Sharpe,1989,14,14
Cards,Vai Sikahema,1989,16,2
Cards,J.T. Smith,1989,9,8
Cards,Lance Smith,1989,16,16
Cards,Jay Taylor,1989,16,2
Cards,Mark Traynowicz,1989,2,0
Cards,Tom Tupa,1989,14,2
Cards,Marcus Turner,1989,13,0
Cards,Darryl Usher,1989,7,0
Cards,Jim Wahler,1989,13,11
Cards,Karl Wilson,1989,15,6
Cards,Joe Wolf,1989,16,15
Cards,Ron Wolfley,1989,16,1
